City,County,Name,Phone,Street1,full_address,latitude,longitude
Fayetteville,Washington,Washington Regional Medical Center,479-463-1000,3215 N North Hills,"3215 N North Hills, Fayetteville, Washington, AR",36.1120904,-94.1565833
Jonesboro,Craighead,NEA Baptist- Jonesboro,870-936-0100,4200 East Johnson Ave,"4200 East Johnson Ave, Jonesboro, Craighead, AR",35.86144262929,-90.64823241409648
Springdale,Washington,Premier Pharmacy NWA,479-927-6100,834 E. Henri De Tonti Blvd.,"834 E. Henri De Tonti Blvd., Springdale, Washington, AR",36.17652,-94.22164
North Little Rock,Pulaski,Premier Pharmacy NLR,501-992-1006,760 Michaela Dr.,"760 Michaela Dr., North Little Rock, Pulaski, AR",33.603941,-92.080156
North Little Rock,Pulaski,Cornerstone Pharmacy Lakewood,501-353-1984,2609 McCain Blvd,"2609 McCain Blvd, North Little Rock, Pulaski, AR",34.7965106,-92.2346628
Fayetteville,Washington,Medical Arts Pharmacy,479-443-3411,2515 E. Huntsville Rd,"2515 E. Huntsville Rd, Fayetteville, Washington, AR",36.05249,-94.1268805
West Memphis,Arkansas,Baptist Heatlh Crittenden (west memphis),870-394-7800,2100 North 7th Street,"2100 North 7th Street, West Memphis, Arkansas, AR",35.16821565,-90.17751543844908
Little Rock,Pulaski,UAMS Health Family Medical Clinic,501-686-6560,521 Jack Stephens,"521 Jack Stephens, Little Rock, Pulaski, AR",34.74795492287944,-92.3186791132992
Little Rock,Pulaski,UAMS- Rahling Road,501-214-2360,1811 Rahling Road,"1811 Rahling Road, Little Rock, Pulaski, AR",34.77137667850392,-92.4521208064981
Little Rock,Pulaski,UAMS Capitol Mall Neighborhood Clinic,501-320-7000,"1401 W. Capitol Avenue, Plaza E","1401 W. Capitol Avenue, Plaza E, Little Rock, Pulaski, AR",34.74567,-92.286283
Batesville,Independence,UAMS Central Family Medical,870-793-2540,1993 Harrison St,"1993 Harrison St, Batesville, Independence, AR",35.76961817023086,-91.6316350889429
Maumelle,Pulaski,UAMS Neighborhood Clinic- Maumelle,501-614-2470,102 Town Centre,"102 Town Centre, Maumelle, Pulaski, AR",34.853045,-92.403385
Fort Smith,Sebastian,UAMS West- Fort Smith,479-785-2431,1301 south E street,"1301 south E street, Fort Smith, Sebastian, AR",35.378391,-94.419848
helena,Phillips,UAMS Family Medical Clinic East,870-572-6507,1393 hwy 242 south,"1393 hwy 242 south, helena, Phillips, AR",34.526795,-90.638991
Texarkana,Miller,UAMS Texarkana,870-779-6000,3417 U of A Way,"3417 U of A Way, Texarkana, Miller, AR",33.47412028434431,-93.99854458230864
Magnolia,Columbia,UAMS Family Medical Clinic Magnolia,870-234-7676,1617 N Washington,"1617 N Washington, Magnolia, Columbia, AR",33.28228,-93.23963
Pine Bluff,Jefferson,UAMS South Central Pine Bluff,870-541-6000,1601 West 40th Avenue,"1601 West 40th Avenue, Pine Bluff, Jefferson, AR",34.18916270595239,-92.0182074424096
Jonesboro,Craighead,UAMS Jonesboro,870-972-0063,311 East Matthews,"311 East Matthews, Jonesboro, Craighead, AR",35.83567426521737,-90.70303628261205
Little Rock,Pulaski,UAMS Health Financial Centre Parkway Neighborhood Clinic,501-614-2340,11300 Financial Centre Parkway,"11300 Financial Centre Parkway, Little Rock, Pulaski, AR",34.74678172492035,-92.39984609713277
Little Rock,Arkansas,UAMS Outpatient Pharmacy,501-686-5530,4110 Outpatient Circle,"4110 Outpatient Circle, Little Rock, Arkansas, AR",34.74798674509162,-92.31923017323793
Little Rock,Pulaski,UAMS Inpatient Pharmacy,501-686-6224,4301 West Markham Street,"4301 West Markham Street, Little Rock, Pulaski, AR",34.74816235,-92.3199622366046
Des Arc,Prairie,Prairie County Health Unit,870-256-4430,204  Main St,"204  Main St, Des Arc, Prairie, AR",34.97642480591314,-91.52368962809098
Malvern,Hot Spring,Hot Spring County Health Unit,501-332-6974,2204 W Sullenberger Ave,"2204 W Sullenberger Ave, Malvern, Hot Spring, AR",34.35825273703693,-92.82604573471528
DeWitt,Arkansas,Arkansas County Health Unit-DeWitt,870-946-2934,1616 South Madison,"1616 South Madison, DeWitt, Arkansas, AR",34.27926566666667,-91.33904944444444
Marianna,Lee,Lee County Health Unit,870-295-2400,141 North Hicky,"141 North Hicky, Marianna, Lee, AR",34.77850214359426,-90.78450577590527
Bakerville,Independence,Independence County Health Unit,870-793-8847,120 Weaver Ave,"120 Weaver Ave, Bakerville, Independence, AR",35.767416,-91.58473
North Little Rock,Pulaski,Pulaski County Health Unit - NLR,501-791-8551,2800 Willow St,"2800 Willow St, North Little Rock, Pulaski, AR",34.76646799931817,-92.2708789806625
Pine Bluff,Jefferson,Jefferson County Health Unit,870-353-2142,2306 Rike Drive,"2306 Rike Drive, Pine Bluff, Jefferson, AR",35.099277,-92.336629
Brinkley,Monroe,Monroe County Health Unit,870-734-1461,306 Martin Luther King Drive,"306 Martin Luther King Drive, Brinkley, Monroe, AR",34.902764990151915,-91.1957470207266
Newport,Jackson,Jackson County Health Unit,870-523-8968,1505 N. Pecan St.,"1505 N. Pecan St., Newport, Jackson, AR",35.6200706,-91.2654294270908
Monticello,Drew,Drew County Health Unit,870-367-6234,940 Scogin Drive,"940 Scogin Drive, Monticello, Drew, AR",33.608759227151445,-91.81509936743367
Hope,Hempstead,Hempstead County Health Unit,870-777-2191,808 W 5th Street,"808 W 5th Street, Hope, Hempstead, AR",33.66323402040816,-93.5992214489796
Ashdown,Little River,Little River Health Unit,870-898-3891,150 Keller Street,"150 Keller Street, Ashdown, Little River, AR",33.67307039450042,-94.12869368688676
Augusta,Woodruff,Woodruff County Health Unit,870-347-5861,623 N. 9th St.,"623 N. 9th St., Augusta, Woodruff, AR",35.287616,-91.357981
Mens,Polk,Polk County Health Unit,479-394-2707,702 Hornbeck,"702 Hornbeck, Mens, Polk, AR",34.583458,-94.224581
Blytheville,Mississippi,Mississippi County Health Unit - Blytheville,870-763-7064,1299 North 10th Street,"1299 North 10th Street, Blytheville, Mississippi, AR",35.942055,-89.914619
DeQueen,Sevier,Sevier County Health Unit,870-642-2535,304 N. 4th Street,"304 N. 4th Street, DeQueen, Sevier, AR",34.039117,-94.341109
Little Rock,Pulaski,Arkansas Department of Health,501-661-2723,4815 W. Markham St.,"4815 W. Markham St., Little Rock, Pulaski, AR",34.7511456,-92.3264831
Earle,Crittenden,Crittenden County Health Unit- Earle,870-735-4334,841 Keith St,"841 Keith St, Earle, Crittenden, AR",33.598421,-91.296865
Wynne,Cross,Cross County Health Unit,870-238-2101,701 Julia Ave East,"701 Julia Ave East, Wynne, Cross, AR",35.21813,-90.78491
Lonoke,Lonoke,Lonoke County Health Unit - Lonoke,501-676-2268,306 North Center St.,"306 North Center St., Lonoke, Lonoke, AR",34.786234163265306,-91.90013457142858
El Dorado,Union,Union County Health Unit,870-863-5101,301 American Road,"301 American Road, El Dorado, Union, AR",33.2088207488608,-92.63085317102424
Fordyce,Dallas,Dallas County Health Unit,870-352-7197,201 N. Spring Street,"201 N. Spring Street, Fordyce, Dallas, AR",33.8127638,-92.411243555428
Springdale,Washington,Bates Outreach Clinic-Springdale,479-751-3630,614 E. Emma Avenue,"614 E. Emma Avenue, Springdale, Washington, AR",36.1857964,-94.12301249618358
Murfreesboro,Pike,Pike County Health Unit,870-285-3154,15 Cadoo Dr,"15 Cadoo Dr, Murfreesboro, Pike, AR",34.06421,-93.693696
Dumas,Desha,Desha County Health Unit - Dumas,870-382-2377,751 Hwy 65 South,"751 Hwy 65 South, Dumas, Desha, AR",33.873594,-91.48253
Harrisburg,Poinsett,Poinsett County Health Unit- Harrisburg,870-578-4480,119 N. Main,"119 N. Main, Harrisburg, Poinsett, AR",35.563395,-90.717756
Cabot,Lonoke,Lonoke County Health Unit - Cabot,501-843-7561,118 south 1st Street,"118 south 1st Street, Cabot, Lonoke, AR",34.97331268488052,-92.01659130824032
Magnolia,Columbia,Columbia County Health Unit,870-235-3798,207 S. Jefferson,"207 S. Jefferson, Magnolia, Columbia, AR",33.265457,-93.241885
Lake Village,Arkansas,Chicot County Health Unit,870-830-9373,1742 Hwy 65 and 82 South,"1742 Hwy 65 and 82 South, Lake Village, Arkansas, AR",33.30144,-91.28239
Forrest City,St. Francis,St. Francis County Health Unit,870-633-1340,413 North Division St,"413 North Division St, Forrest City, St. Francis, AR",35.01108502607017,-90.78989514090078
Pocahontas,Randolph,Randolph County Health Unit,870-892-5239,1304 Pace Rd.,"1304 Pace Rd., Pocahontas, Randolph, AR",36.25263456154982,-90.95568379483392
Fayetteville,Washington,Washington County Health Unit- Fayetteville,479-521-8181,3270 Wimberly Drive,"3270 Wimberly Drive, Fayetteville, Washington, AR",36.11018155,-94.15342474777478
Corning,Clay,Clay County Health Unit- Corning,870-857-6281,301 N Missouri,"301 N Missouri, Corning, Clay, AR",36.414479,-90.58644
Camden,Ouachita,Ouachita County Health Unit,870-836-5033,740 California Ave.,"740 California Ave., Camden, Ouachita, AR",33.573025,-92.835759
Warren,Bradley,Bradley County Health Unit,870-226-8440,208 North Bragg Street,"208 North Bragg Street, Warren, Bradley, AR",33.356766,-93.585472
Prescott,Nevada,Nevada County Health Unit,870-887-2004,1501 W. 1st. Street North,"1501 W. 1st. Street North, Prescott, Nevada, AR",33.812936105263155,-93.37614231578948
Piggott,Clay,Clay County Health Unit- Piggott,870-598-3390,1009 S Garfield,"1009 S Garfield, Piggott, Clay, AR",36.36977712507288,-90.184501
Benton,Saline,Saline County Health Unit,501-303-5650,1612 Edison Ave,"1612 Edison Ave, Benton, Saline, AR",34.55705745172907,-92.56853250721883
Heber Springs,Cleburne,Cleburne County Health Unit,501-362-7581,2319 Hwy 110 W,"2319 Hwy 110 W, Heber Springs, Cleburne, AR",35.488487,-92.057748
Rison,Cleveland,Cleveland County Health Unit,870-325-6311,409 East Magnolia,"409 East Magnolia, Rison, Cleveland, AR",33.95977813782949,-92.18617793255774
Hamburg,Ashley,Ashley County Health Unit- Hamburg,870-853-5525,401 North Cherry,"401 North Cherry, Hamburg, Ashley, AR",33.228114,-91.79506
Hot Springs,Garland,Garland County Health Unit,501-624-3394,1425 Malvern Avenue,"1425 Malvern Avenue, Hot Springs, Garland, AR",34.49813358669403,-93.04072903401467
McGehee,Desha,Desha County Health Unit - McGehee,870-222-3910,100 East Oak Street,"100 East Oak Street, McGehee, Desha, AR",33.6292551,-91.39616415
Walnut Ridge,Lawrence,Lawrence County Health Unit,870-886-3201,1050 W. Free St.,"1050 W. Free St., Walnut Ridge, Lawrence, AR",36.072223941452044,-90.96662098232918
Ash Flat,Sharp,Sharp County Health Unit,870-994-7364,724 Ash Flat Dr.,"724 Ash Flat Dr., Ash Flat, Sharp, AR",36.22845349218799,-91.6066395868556
Marked Tree,Poinsett,Poinsett County Health Unit- Marked Tree,870-358-3615,102 Liberty,"102 Liberty, Marked Tree, Poinsett, AR",35.53186968397851,-90.42261644407104
Salem,Fulton,Fulton County Health Unit,870-895-3300,510 South Main Street,"510 South Main Street, Salem, Fulton, AR",36.36394587154589,-91.82906096418526
Stuttgart,Arkansas,Arkansas County Health Unit-Stuttgart,870-673-1609,1602 North Buerkle Rd,"1602 North Buerkle Rd, Stuttgart, Arkansas, AR",34.51659,-91.55714
Conway,Faulkner,Faulkner County Health Unit,501-450-4951,811 North Creek Drive,"811 North Creek Drive, Conway, Faulkner, AR",35.096193,-92.42385149390412
Danville,Yell,Yell County Health Unit- Danville,479-495-2741,1309 E 8th Street,"1309 E 8th Street, Danville, Yell, AR",35.053786895215545,-93.38112989677634
Sheridan,Grant,Grant County Health Unit,870-942-3157,700 E Center St,"700 E Center St, Sheridan, Grant, AR",34.307133,-92.393344
Crossett,Ashley,Ashley County Health Unit- Crossett,870-364-2115,1330 West 5th Avenue,"1330 West 5th Avenue, Crossett, Ashley, AR",33.129592845266984,-91.96481242755824
Arkadelphia,Clark,Clark County Health Unit,870-246-4471,605 South 10th,"605 South 10th, Arkadelphia, Clark, AR",34.1164612,-93.0587211
West Memphis,Crittenden,Crittenden County Health Unit- West Memphis,870-735-4334,901 N 7th Street,"901 N 7th Street, West Memphis, Crittenden, AR",35.15492889734299,-90.17574296150056
Osceola,Mississippi,Mississippi County Health Unit - Osceola,870-563-2521,720 W. Lee,"720 W. Lee, Osceola, Mississippi, AR",35.700406,-89.978596
Texarkana,Miller,Miller County Health Unit,870-773-2108,503 Walnut Street,"503 Walnut Street, Texarkana, Miller, AR",33.42569974336875,-94.04166237482694
Nashbille,Howard,Howard County Health Unit,870-845-2208,201 E. Hempstead Street,"201 E. Hempstead Street, Nashbille, Howard, AR",33.942887,-93.844958
Fort Smith,Sebastian,Sebastian County Health Unit,479-452-8600,3112 South 70th Street,"3112 South 70th Street, Fort Smith, Sebastian, AR",35.351869,-94.355809
Jonesboro,Craighead,Craighead County Health Unit,870-933-4585,611 E Washington,"611 E Washington, Jonesboro, Craighead, AR",35.83826479591837,-90.6994398367347
Melbourne,Izard,Izard County Health Unit,870-368-4125,149 Haley St.,"149 Haley St., Melbourne, Izard, AR",36.055185239746336,-91.89465106197385
Morrilton,Conway,Conway County Health Unit- Morrilton,501-354-4652,100 Hospital Drive,"100 Hospital Drive, Morrilton, Conway, AR",35.166419,-92.720284
Beebe,White,White County Health Unit Beebe,501-882-5128,306 N. Gum St.,"306 N. Gum St., Beebe, White, AR",35.07061173081296,-91.88627360179922
Dardanelle,Yell,Yell County Health Unit-Dardanelle,479-229-3509,719 North 5th Street,"719 North 5th Street, Dardanelle, Yell, AR",35.223791866917054,-93.16247162255064
Perryville,Perry,Perry County Health Unit,501-889-5156,1039 Fourche Ave,"1039 Fourche Ave, Perryville, Perry, AR",35.00075704701993,-92.7992579117107
Mountain View,Pulaski,Stone County Health Unit,870-269-3308,204 Whitfield Ave.,"204 Whitfield Ave., Mountain View, Pulaski, AR",35.867526,-92.130803
Mount Ida,Montgomery,Montgomery County Health Unit,870-867-2331,346 Lazerne,"346 Lazerne, Mount Ida, Montgomery, AR",33.288277,-91.390676
Berryville,Carroll,Carroll County Health Unit,870-423-2923,402 Haley Road,"402 Haley Road, Berryville, Carroll, AR",35.284774,-93.743297
Helena-West Helena,Phillips,Phillips County Health Unit,870-572-9028,110 Shirley Hicks Dr,"110 Shirley Hicks Dr, Helena-West Helena, Phillips, AR",34.250654,-92.073914
Lewisville,Lafayette,Lafayette County Health Unit,870-921-5744,1113 Chestnut Street,"1113 Chestnut Street, Lewisville, Lafayette, AR",33.365885186026205,-93.57835841860528
Rogers,Benton,Benton County Health Unit-Rogers,479-986-1300,1200 West Walnut Street,"1200 West Walnut Street, Rogers, Benton, AR",36.33296555,-94.13409735276252
Clarksville,Lawrence,Johnson County Health Unit,479-754-2949,6 Professional Park Drive,"6 Professional Park Drive, Clarksville, Lawrence, AR",35.462005,-93.446302
Hampton,Calhoun,Calhoun County Health Unit,870-798-2808,1119 Prestress Drive,"1119 Prestress Drive, Hampton, Calhoun, AR",33.538445,-92.452611
Marshall,Searcy,Searcy County Health Unit,870-447-3374,742 Airport Road,"742 Airport Road, Marshall, Searcy, AR",35.90325694043638,-92.65839976348164
Waldron,Scott,Scott County Health Unit,479-637-2165,10 South Main Street,"10 South Main Street, Waldron, Scott, AR",34.900260445201475,-94.09108762866325
Russellville,Pope,Pope County Health Unit,479-968-6004,203 Weir Road,"203 Weir Road, Russellville, Pope, AR",35.2799295,-93.10743025
Star City,Lincoln,Lincoln County Health Unit,870-628-5121,214 South Lincoln,"214 South Lincoln, Star City, Lincoln, AR",33.940751,-91.84403
Van Buren,Crawford,Crawford County Health Unit,479-474-6391,2040 Chestnut Street,"2040 Chestnut Street, Van Buren, Crawford, AR",35.43460564068693,-94.34536491954611
Paragould,Greene,Greene County Health Unit,870-236-7782,801 Goldsmith Road,"801 Goldsmith Road, Paragould, Greene, AR",36.081971,-90.475083
Little Rock,Pulaski,Pulaski County- WLR WIC Clinic,501-224-1254,11715 Rainwood Dr.,"11715 Rainwood Dr., Little Rock, Pulaski, AR",34.77050612010632,-92.40901568458158
Huntsville,Madison,Madison County Health Unit,479-738-2612,709 College Avenue,"709 College Avenue, Huntsville, Madison, AR",36.09299150523061,-93.73618379174162
Jasper,Newton,Newton County Health Unit,870-446-2216,506 West Court Street,"506 West Court Street, Jasper, Newton, AR",36.008818,-93.185728
Siloam Springs,Benton,Benton County Health Unit-Siloam Springs,479-549-3794,101 West University,"101 West University, Siloam Springs, Benton, AR",36.18623405,-94.5416559527548
Little Rock,Pulaski,Pulaski County Health Unit- Central,501-280-3100,3915 West 8th St.,"3915 West 8th St., Little Rock, Pulaski, AR",34.74136739262481,-92.2728825153111
Paris,Logan,Logan County Health Unit-Paris,479-963-6126,150 South Lowder,"150 South Lowder, Paris, Logan, AR",35.29092587755102,-93.71415293877553
Yellville,Marion,Marion County Health Unit,870-449-4259,707 Hwy 202 West,"707 Hwy 202 West, Yellville, Marion, AR",35.735558,-92.245192
Truman,Poinsett,Poinsett County Health Unit- Truman,870-483-5761,1204 W. Main St,"1204 W. Main St, Truman, Poinsett, AR",35.671369,-90.525404
Clinton,Van Buren,Van Buren County Health Unit,501-745-2485,526 Quality Drive,"526 Quality Drive, Clinton, Van Buren, AR",35.56697342457825,-92.45707237967244
Fortt Smith,Sebastian,Fort Smith WIC Clinic,479-478-3062,6601 Phoenix Ave,"6601 Phoenix Ave, Fortt Smith, Sebastian, AR",35.348252,-94.35935
Ozark,Franklin,Franklin County Health Unit,479-667-2555,799 West River Street,"799 West River Street, Ozark, Franklin, AR",35.485917,-93.832989
Searcy,Pulaski,White County Health Unit- Searcy,501-268-6102,112 Brantly Rd.,"112 Brantly Rd., Searcy, Pulaski, AR",35.206973,-91.734507
Paris,Logan,Logan County Health Unit-Booneville,479-963-6126,150 South Lowder,"150 South Lowder, Paris, Logan, AR",35.29092587755102,-93.71415293877553
Mountain Home,Baxter,Baxter County Health Unit,870-425-3072,206 Bucher Drive,"206 Bucher Drive, Mountain Home, Baxter, AR",36.3399886,-92.3964281
Harrison,Boone,Boone County Health Unit,870-743-5244,1622 Campus Drive,"1622 Campus Drive, Harrison, Boone, AR",36.21867721303618,-93.08518654736962
Jacksonville,Pulaski,Pulaski County Health Unit- Jacksonville,501-982-7477,3000 North First St,"3000 North First St, Jacksonville, Pulaski, AR",34.88729460330453,-92.1068074441366
Little Rock,Pulaski,Express Rx of Otter Creek,501-455-2522,10100 Stagecoach Road,"10100 Stagecoach Road, Little Rock, Pulaski, AR",34.674973091137105,-92.41465394725526
Cabot,Lonoke,Express Rx of Cabot,501-843-1489,1848 W. Main St,"1848 W. Main St, Cabot, Lonoke, AR",34.97543475571089,-92.01747267952166
Sherwood,Pulaski,Express Rx of Sherwood,501-819-6300,8730 Brockington Road,"8730 Brockington Road, Sherwood, Pulaski, AR",34.832793800000005,-92.19059324704142
Little Rock,Pulaski,Express Rx on Cantrell,501-227-0587,7612 Cantrell Road,"7612 Cantrell Road, Little Rock, Pulaski, AR",34.7727603,-92.3589747
Greenwood,Sebastian,Health Depot #3,479-996-9898,1530 West Center Street,"1530 West Center Street, Greenwood, Sebastian, AR",35.222364811588506,-94.28066247252627
Barling,Sebastian,Health Depot #2,479-452-1237,1610 Fort Street,"1610 Fort Street, Barling, Sebastian, AR",35.33539265,-94.31378896719902
Fort Smith,Sebastian,Health Depot #1,479-646-7875,7700 HWY 271 S.,"7700 HWY 271 S., Fort Smith, Sebastian, AR",35.311868,-94.423269
Harrisburg,Poinsett,Food Giant Discount Pharmacy,870-578-5200,605 N Illinois St.,"605 N Illinois St., Harrisburg, Poinsett, AR",35.570553,-90.725912
Harrisburg,Poinsett,Harrisburg Clinic Pharmacy,870-578-0670,1104 N Illinois St.,"1104 N Illinois St., Harrisburg, Poinsett, AR",35.576224,-90.722934
Jonesboro,Craighead,Hilltop Market Pharmacy,870-336-8310,3605 E Johnson Ave,"3605 E Johnson Ave, Jonesboro, Craighead, AR",35.858163207264575,-90.65502990061556
Bono,Craighead,Bono Family Pharmacy,870-277-1543,10040 N Hwy 63 Suite 4,"10040 N Hwy 63 Suite 4, Bono, Craighead, AR",34.090897,-92.144915
Jonesboro,Craighead,Woodsprings Pharmacy,870-972-8310,1807 Woodsprings Rd.,"1807 Woodsprings Rd., Jonesboro, Craighead, AR",35.81940186572703,-90.72771804280411
Russellville,Pope,Rose Drug of Russellville,479-968-1050,3103 W Main Pl,"3103 W Main Pl, Russellville, Pope, AR",35.287134800000004,-93.16502783809815
Hector,Pope,Hector Pharmacy,479-284-2011,11167 SR 27,"11167 SR 27, Hector, Pope, AR",35.46391,-92.97456
Jonesboro,Craighead,Soo's Drug Store,870-932-6930,2822 E. Nettleton,"2822 E. Nettleton, Jonesboro, Craighead, AR",35.828453767441864,-90.67075274418605
hot springs,Garland,crawford pharmacy,501-624-4636,107 crawford street,"107 crawford street, hot springs, Garland, AR",34.47664655163785,-93.0601285145017
Melbourne,Izard,Corner Drug Store,870-368-7171,830 E Main Street,"830 E Main Street, Melbourne, Izard, AR",36.059107275429085,-91.9061534429408
Rogers,Benton,MERCY NORTHWEST HOSP EH - ROGERS,479-338-3351,2710 Rife Medical Lane,"2710 Rife Medical Lane, Rogers, Benton, AR",36.3086772,-94.18336417152317
Little Rock,Pulaski,Don's Pharmacy Little Rock,501-225-2222,8609 West Markham,"8609 West Markham, Little Rock, Pulaski, AR",34.75290445,-92.37044349384404
Maumelle,Pulaski,Achor Family Pharmacy,501-274-1130,1900 Club Manor Drive,"1900 Club Manor Drive, Maumelle, Pulaski, AR",34.853199,-92.4040164
Little Rock,Pulaski,Baptist Health Medical Center - Little Rock,501-202-2126,9601 Baptist Health Drive,"9601 Baptist Health Drive, Little Rock, Pulaski, AR",34.743831,-92.381003587338
Little Rock,Pulaski,Market Place Pharmacy of LIttle Rock,501-225-5056,11316 Huron Lane,"11316 Huron Lane, Little Rock, Pulaski, AR",34.766459653846155,-92.39968846153846
Little Rock,Pulaski,City Pharmacy #01,501-374-6565,1801 Broadway,"1801 Broadway, Little Rock, Pulaski, AR",34.73177,-92.27805
Fort Smith,Sebastian,Coleman Pharmacy- Fort Smith,479-783-5171,3610 Grand Ave,"3610 Grand Ave, Fort Smith, Sebastian, AR",35.3857083877551,-94.39289404081632
Lonsdale,Saline,East Gate Pharmacy,501-922-0909,24615 HWY 5,"24615 HWY 5, Lonsdale, Saline, AR",34.620749,-92.853548
Lonoke,Lonoke,Lackie Drug Store,501-676-6566,719 N Center,"719 N Center, Lonoke, Lonoke, AR",34.54329014418051,-91.75826739985176
Clinton,Van Buren,Clinton Drug,501-745-8414,2526 S. HWY 65,"2526 S. HWY 65, Clinton, Van Buren, AR",35.20126,-92.267062
Van Buren,Crawford,Hudson Pharmacy,479-474-1193,1609 Main Street,"1609 Main Street, Van Buren, Crawford, AR",35.43688825,-94.34175072467804
