City,County,Name,Phone,Street1
Fayetteville,Washington,Washington County Health Unit- Fayetteville,479-521-8181,3270 Wimberly Drive
Corning,Clay,Clay County Health Unit- Corning,870-857-6281,301 N Missouri
Camden,Ouachita,Ouachita County Health Unit,870-836-5033,740 California Ave.
Warren,Bradley,Bradley County Health Unit,870-226-8440,208 North Bragg Street
Prescott,Nevada,Nevada County Health Unit,870-887-2004,1501 W. 1st. Street North
Piggott,Clay,Clay County Health Unit- Piggott,870-598-3390,1009 S Garfield
Benton,Saline,Saline County Health Unit,501-303-5650,1612 Edison Ave
Heber Springs,Cleburne,Cleburne County Health Unit,501-362-7581,2319 Hwy 110 W
Rison,Cleveland,Cleveland County Health Unit,870-325-6311,409 East Magnolia
Hamburg,Ashley,Ashley County Health Unit- Hamburg,870-853-5525,401 North Cherry
Hot Springs,Garland,Garland County Health Unit,501-624-3394,1425 Malvern Avenue
McGehee,Desha,Desha County Health Unit - McGehee,870-222-3910,100 East Oak Street
Walnut Ridge,Lawrence,Lawrence County Health Unit,870-886-3201,1050 W. Free St.
Ash Flat,Sharp,Sharp County Health Unit,870-994-7364,724 Ash Flat Dr.
Marked Tree,Poinsett,Poinsett County Health Unit- Marked Tree,870-358-3615,102 Liberty
Salem,Fulton,Fulton County Health Unit,870-895-3300,510 South Main Street
Stuttgart,Arkansas,Arkansas County Health Unit-Stuttgart,870-673-1609,1602 North Buerkle Rd
Conway,Faulkner,Faulkner County Health Unit,501-450-4951,811 North Creek Drive
Danville,Yell,Yell County Health Unit- Danville,479-495-2741,1309 E 8th Street
Sheridan,Grant,Grant County Health Unit,870-942-3157,700 E Center St
Crossett,Ashley,Ashley County Health Unit- Crossett,870-364-2115,1330 West 5th Avenue
Arkadelphia,Clark,Clark County Health Unit,870-246-4471,605 South 10th
West Memphis,Crittenden,Crittenden County Health Unit- West Memphis,870-735-4334,901 N 7th Street
Osceola,Mississippi,Mississippi County Health Unit - Osceola,870-563-2521,720 W. Lee
Texarkana,Miller,Miller County Health Unit,870-773-2108,503 Walnut Street
Nashbille,Howard,Howard County Health Unit,870-845-2208,201 E. Hempstead Street
Fort Smith,Sebastian,Sebastian County Health Unit,479-452-8600,3112 South 70th Street
Jonesboro,Craighead,Craighead County Health Unit,870-933-4585,611 E Washington
Melbourne,Izard,Izard County Health Unit,870-368-4125,149 Haley St.
Morrilton,Conway,Conway County Health Unit- Morrilton,501-354-4652,100 Hospital Drive
Beebe,White,White County Health Unit Beebe,501-882-5128,306 N. Gum St.
Dardanelle,Yell,Yell County Health Unit-Dardanelle,479-229-3509,719 North 5th Street
Perryville,Perry,Perry County Health Unit,501-889-5156,1039 Fourche Ave
Mountain View,Pulaski,Stone County Health Unit,870-269-3308,204 Whitfield Ave.
Mount Ida,Montgomery,Montgomery County Health Unit,870-867-2331,346 Lazerne
Berryville,Carroll,Carroll County Health Unit,870-423-2923,402 Haley Road
Helena-West Helena,Phillips,Phillips County Health Unit,870-572-9028,110 Shirley Hicks Dr
Lewisville,Lafayette,Lafayette County Health Unit,870-921-5744,1113 Chestnut Street
Rogers,Benton,Benton County Health Unit-Rogers,479-986-1300,1200 West Walnut Street
Clarksville,Lawrence,Johnson County Health Unit,479-754-2949,6 Professional Park Drive
Hampton,Calhoun,Calhoun County Health Unit,870-798-2808,1119 Prestress Drive
Marshall,Searcy,Searcy County Health Unit,870-447-3374,742 Airport Road
Waldron,Scott,Scott County Health Unit,479-637-2165,10 South Main Street
Russellville,Pope,Pope County Health Unit,479-968-6004,203 Weir Road
Star City,Lincoln,Lincoln County Health Unit,870-628-5121,214 South Lincoln
Van Buren,Crawford,Crawford County Health Unit,479-474-6391,2040 Chestnut Street
Paragould,Greene,Greene County Health Unit,870-236-7782,801 Goldsmith Road
Little Rock,Pulaski,Pulaski County- WLR WIC Clinic,501-224-1254,11715 Rainwood Dr.
Huntsville,Madison,Madison County Health Unit,479-738-2612,709 College Avenue
Jasper,Newton,Newton County Health Unit,870-446-2216,506 West Court Street
Siloam Springs,Benton,Benton County Health Unit-Siloam Springs,479-549-3794,101 West University
Little Rock,Pulaski,Pulaski County Health Unit- Central,501-280-3100,3915 West 8th St.
Paris,Logan,Logan County Health Unit-Paris,479-963-6126,150 South Lowder
Yellville,Marion,Marion County Health Unit,870-449-4259,707 Hwy 202 West
Truman,Poinsett,Poinsett County Health Unit- Truman,870-483-5761,1204 W. Main St
Clinton,Van Buren,Van Buren County Health Unit,501-745-2485,526 Quality Drive
Fortt Smith,Sebastian,Fort Smith WIC Clinic,479-478-3062,6601 Phoenix Ave
Ozark,Franklin,Franklin County Health Unit,479-667-2555,799 West River Street
Searcy,Pulaski,White County Health Unit- Searcy,501-268-6102,112 Brantly Rd.
Paris,Logan,Logan County Health Unit-Booneville,479-963-6126,150 South Lowder
Mountain Home,Baxter,Baxter County Health Unit,870-425-3072,206 Bucher Drive
Harrison,Boone,Boone County Health Unit,870-743-5244,1622 Campus Drive
Jacksonville,Pulaski,Pulaski County Health Unit- Jacksonville,501-982-7477,3000 North First St
Little Rock,Pulaski,Express Rx of Otter Creek,501-455-2522,10100 Stagecoach Road
Cabot,Lonoke,Express Rx of Cabot,501-843-1489,1848 W. Main St
Sherwood,Pulaski,Express Rx of Sherwood,501-819-6300,8730 Brockington Road
Little Rock,Pulaski,Express Rx on Cantrell,501-227-0587,7612 Cantrell Road
Greenwood,Sebastian,Health Depot #3,479-996-9898,1530 West Center Street
Barling,Sebastian,Health Depot #2,479-452-1237,1610 Fort Street
Fort Smith,Sebastian,Health Depot #1,479-646-7875,7700 HWY 271 S.
Harrisburg,Poinsett,Food Giant Discount Pharmacy,870-578-5200,605 N Illinois St.
Harrisburg,Poinsett,Harrisburg Clinic Pharmacy,870-578-0670,1104 N Illinois St.
Jonesboro,Craighead,Hilltop Market Pharmacy,870-336-8310,3605 E Johnson Ave
Bono,Craighead,Bono Family Pharmacy,870-277-1543,10040 N Hwy 63 Suite 4
Jonesboro,Craighead,Woodsprings Pharmacy,870-972-8310,1807 Woodsprings Rd.
Russellville,Pope,Rose Drug of Russellville,479-968-1050,3103 W Main Pl
Hector,Pope,Hector Pharmacy,479-284-2011,11167 SR 27
Jonesboro,Craighead,Soo's Drug Store,870-932-6930,2822 E. Nettleton
hot springs,Garland,crawford pharmacy,501-624-4636,107 crawford street
Melbourne,Izard,Corner Drug Store,870-368-7171,830 E Main Street
Rogers,Benton,MERCY NORTHWEST HOSP EH - ROGERS,479-338-3351,2710 Rife Medical Lane
Little Rock,Pulaski,Don's Pharmacy Little Rock,501-225-2222,8609 West Markham
Maumelle,Pulaski,Achor Family Pharmacy,501-274-1130,1900 Club Manor Drive
Little Rock,Pulaski,Baptist Health Medical Center - Little Rock,501-202-2126,9601 Baptist Health Drive
Little Rock,Pulaski,Market Place Pharmacy of LIttle Rock,501-225-5056,11316 Huron Lane
Little Rock,Pulaski,City Pharmacy #01,501-374-6565,1801 Broadway
Fort Smith,Sebastian,Coleman Pharmacy- Fort Smith,479-783-5171,3610 Grand Ave
Lonsdale,Saline,East Gate Pharmacy,501-922-0909,24615 HWY 5
Lonoke,Lonoke,Lackie Drug Store,501-676-6566,719 N Center
Clinton,Van Buren,Clinton Drug,501-745-8414,2526 S. HWY 65
Van Buren,Crawford,Hudson Pharmacy,479-474-1193,1609 Main Street
Texarkana,Miller,College Hill Drug,870-772-6969,100 East St
Hot Springs,Garland,Fountain Lake Family Pharmacy,501-547-3400,4517 Park Ave
Hot Springs Village,Garland,Village Healthmart #1,501-922-0777,4440 N. HWY 7
Berryville,Carroll,Mercy Hospital Berryville,870-423-5270,214 Carter St.
Jonesboro,Craighead,The Medicine Shoppe #0618,870-935-1340,325 Southwest Drive
OZARK,Franklin,MEDI-QUIK PHARMACY,479-667-4145,810 W COMMERCIAL ST
Paragould,Greene,Oak Grove Rx Express,870-586-9200,4763 Hwy 135 North
Dierks,Howard,Dierks Pharmacy,870-286-3131,323 Main St
CONWAY,Faulkner,BAKER DRUG STORE,501-329-5626,924 FRONT ST
Springdale,Washington,Westside Family Pharmacy,479-756-3232,3819 W Sunset
Greenbrier,Faulkner,Greenbrier Pharmacy Inc,501-402-4906,61A South Broadview St
Marianna,Arkansas,Dean's Pharmacy #3,870-295-4100,311 W. Chestnut Street
Stuttgart,Arkansas,Dean's Pharmacy #2,870-672-4790,102 E. 22nd
DeWitt,Arkansas,Dean's Pharmacy,870-946-2381,1640 S. Whitehead Drive
CAVE CITY,Sharp,CAVE CITY PHARMACY,870-283-5589,301 S MAIN STREET
Paragould,Greene,Hyde Pharmacy Inc,870-239-4036,1001 W. Kingshighway
Bentonville,Benton,Women's Health Associates of NWA,479-876-8111,500 SE Plaza Ave
BATESVILLE,Independence,Econo-Mart Pharmacy,870-793-4179,1595 HARRISON STREET
Ozark,Franklin,Village Pharmacy,479-667-2101,500 W Commercial St
Jonesboro,Arkansas,"West End Associates, Inc (DBA Soo's West End Pharmacy)",870-932-4742,619 W. Nettleton Avenue
NEWARK,Independence,NEWARK PHARMACY,870-799-3411,503 VINE ST
LITTLE ROCK,Pulaski,"THE DRUG STORE, INC",501-223-2636,11121 N. RODNEY PARHAM
Monticello,Drew,Drew Memorial,870-367-2411,778 Scogin Drive
North Little Rock,Pulaski,Medicine Man Pharmacy-Springhill,501-476-3514,3201 Springhill Dr.
Fayetteville,Washington,Live+Well Pharmacy,479-527-9355,767 W North St
lowell,Benton,Lowell Pharmacy,479-770-0111,114 harrison ave
Bentonville,Benton,Live+Well Pharmacy,479-271-9355,3500 SW Regional Airport Blvd
Springdale,Washington,Community Clinic NWA - Mobile Health Unit,855-438-2280,610 E Emma Ave
Prairie Grove,Washington,Community Clinic NWA - Prairie Grove School Based Health C,855-438-2280,801 Viney Grove Road
Springdale,Washington,Community Clinic NWA - Parson Hills School Based Health Ce,855-438-2280,2328 Cardinal Dr
Fayetteville,Washington,Community Clinic NWA - Owl Creek School Based Health Cente,855-438-2280,375 N. Rupple Road
Springdale,Washington,Community Clinic NWA - George School Based Health Center,855-438-2280,2878 S. Powell Street
Springdale,Washington,Community Clinic NWA - Jones School Based Health Center,855-438-2280,900 S. Powell Street
Springdale,Washington,Community Clinic NWA - Elmdale School Based Health Center,855-438-2280,420 North West End
Siloam Springs,Benton,Community Clinic NWA - Panther School Based Health Center,855-438-2280,1500 North Mt. Olive
Siloam Springs,Benton,Community Clinic NWA - Siloam Springs,855-438-2280,500 S Mt Olive St.
Fayetteville,Washington,Community Clinic NWA - Fayetteville,855-438-2280,3162 W. MLK Jr. Blvd.
Rogers,Benton,Community Clinic NWA - Rogers,855-438-2280,1233 W. Poplar Street
Springdale,Washington,Community Clinic NWA - Springdale,855-438-2280,610 E. Emma Ave
Pea Ridge,Benton,Community Clinic NWA - Pea Ridge School Based Health Cente,855-438-2280,1923 W Pickens Rd
Fayetteville,Washington,"Rainbow Pediatric Clinic, PA",479-966-4664,3159 E Mission Blvd
Conway,Faulkner,"Conway Medical Park Pharmacy, LLC",501-358-6212,650 United Drive
SPRINGDALE,Washington,COMMUNITY PHARMACY OF SPRINGDALE,479-750-2220,400 W EMMA AVENUE
Mountain View,Stone,Mitchell's Main Street Pharmacy,870-269-3253,214 East Main
North Little Rock,Pulaski,Medicine Man Pharmacy,501-758-7581,2520 Main St
Dardanelle,Yell,Rose Drug of Dardanelle,479-229-4040,1176 State Hwy 22 West
Searcy,White,SJD Pharmacy Inc DBA Medic Sav - On Drug,501-268-4121,2806 E. Race
Van Buren,Crawford,Mercy COVID Vaccine Clinic Northridge,479-314-6334,120 Northridge Drive
Waldron,Scott,Mercy Family Practice Waldron,479-637-2136,1331 W 6th St
Booneville,Logan,FTSMMC CCC Vaccine Booneville,479-314-6334,880 West Main
Fort Smith,Sebastian,Mercy COVID Vaccine Clinic Fort Smith,479-314-6334,7200 Zero Street
Fort Smith,Sebastian,Mercy Convenient Care River Valley,479-709-8686,3505 S. 79th St
Fort Smith,Sebastian,Mercy Clinic Primary Care Zero Street,479-573-3082,1400 Zero Street
Fort Smith,Sebastian,Mercy Clinic Pediatrics Tower West,479-274-3500,6801 Rogers Ave
Fort Smith,Sebastian,Mercy Clinic Pediatrics Fort Smith,479-274-3500,3224 S. 70th
Fort Smith,Sebastian,Mercy Clinic Primary Care Cliff Drive,479-274-6000,3700 Cliff Drive
Fort Smith,Sebastian,Mercy Clinic Primary Care Free Ferry,479-221-9922,1000 S. Waldron Rd
Fort Smith,Sebastian,Mercy Clinic Primary Care Hope Campus,479-221-9922,301 South E St Suite A
Barling,Sebastian,Mercy Clinic Primary Care Chaffee Crossing,479-431-3500,7003 Chad Colley Blvd
Ozark,Franklin,Mercy Clinic Family Medicine Ozark,479-667-1590,201 S 7th Street
Ozark,Franklin,FTSMMC CCC Vaccine Ozark,479-314-6334,801 West River
Greenwood,Sebastian,Mercy Clinic Primary Care Greenwood,479-996-4111,20 N Aster
Fort Smith,Sebastian,Mercy Clinic Internal Medicine Tower West,479-274-4100,6801 Rogers Ave
Clarksville,Johnson,Mercy Clinic Primary Care Clarksville,479-705-2124,#2 Medicine Drive
Van Buren,Crawford,Mercy Clinic Family Medicine Van Buren,479-314-4000,2800 Fayetteville Road
Fort Smith,Sebastian,Mercy Clinic Primary Care Dallas Street,479-314-4940,7800 Dallas Street
Fort Smith,Sebastian,Mercy Clinic Occupational Medicine,479-274-6350,4300 Regions Park Drive
Mansfield,Sebastian,Mercy Clinic Family Medicine Mansfield,479-928-4404,100 N. Walnut
Magazine,Logan,Mercy Clinic Family Medicine Magazine,479-969-8768,351B E. Priddy Street
Booneville,Logan,Mercy Clinic Family Medicine Booneville,479-675-2455,128 Daniel Ave
Fort Smith,Sebastian,River Valley Orthopedic Hospital,479-709-6700,3501 W E Knight Drive
Fort Smith,Sebastian,Mercy Hospital Fort Smith,479-314-6142,7301 Rogers Ave
Perryville,Perry,Roland Drug Store #1,501-889-5111,112 Houston Ave
Fort Smith,Sebastian,Baptist Health Fort Smith,479-441-5238,1001 Towson Ave
Conway,Faulkner,Baptist Health Medical Center-Conway,501-585-2600,1555 Exchange Ave
Heber Springs,Cleburne,Baptist Health Medical Center Heber Springs,501-887-3238,1800 Bypass Rd
N Little Rock,Pulaski,Baptist Health Medical Center-NLR,501-202-3043,3333 Springhill Dr
Malvern,Hot Spring,Baptist Health Medical Center -Hot Spring County,501-332-1000,1001 Schneider Drive
Arkadelphia,Clark,Baptist Health Medical Center - Arkadelphia,870-245-1260,3050 Twin Rivers Dr
Waldron,Scott,Mercy Hospital Waldron,479-790-3863,1341 W 6th Street
Paris,Logan,Mercy Hospital Paris,479-963-6101,500 E Academy St
Pine Bluff,Jefferson,Jefferson Regional Urgent Care,870-541-8681,4201 South Mulberry
Pine Bluff,Jefferson,Health Works / Jefferson Regional Medical Center Outpatien,870-536-6600,I-530 Medical Mall; 4747 Dusty Lake Drive
Pine Bluff,Jefferson,Jefferson Regional Medical Center,870-541-7908,1600 West 40th Ave
Little Rock,Pulaski,Remedy Drug,501-313-4480,8511 W. Markham
Fort Smith,Sebastian,Laws Drug Store,479-452-6841,6802 Rogers Avenue
Paragould,Greene,Prescriptions Corner Drug,870-239-9535,320 West Kingshighway
Paragould,Greene,Arkansas Methodist Medical Center,870-239-7861,900 West Kingshighway
NEWPORT,Jackson,DARLING PHARMACY,870-523-5888,1303 MCLAIN ST
Wynne,Cross,CrossRidge Community Hospital,870-208-6012,310 S Falls Blvd
Helena,Phillips,Hickory Hill Pharmacy,870-338-8351,109 Hickory Hill Drive
Little Rock,Pulaski,Tanglewood Drugstore,501-664-4444,6815 Cantrell Road
Malvern,Hot Spring,Community Care RX LLC,501-229-1446,1606 Martin Luther King BLVD
CLARENDON,Monroe,"MID-DELTA HEALTH SYSTEMS, INC",870-747-3381,245 MADISON
Morrilton,Conway,CHI St. Vincent Morrilton,501-977-2453,4 Hospital Drive
Hot Springs,Garland,CHI St. Vincent Hot Springs,501-622-1076,300 Werner Street
Sherwood,Pulaski,CHI St. Vincent North,501-552-7324,2515 Wildwood Ave
Little Rock,Pulaski,CHI St. Vincent Infirmary,501-552-4888,2 St Vincent Circle
Gravette,Benton,Teasley Drug,479-787-5966,205 Atlanta SE
McGehee,Desha,McGehee Hospital,870-222-5600,900 South Third Street
Little Rock,Pulaski,Drug Emporium Pharmacy 240,501-223-2262,9112 Rodney Parham Road
Wynne,Cross,Wynne Medical Pharmacy,870-238-8531,718 South Falls Blvd
ROGERS,Benton,ALLCARE PHARMACY - ROGERS,479-621-0400,216 SOUTH 13TH STREET
JONESBORO,Craighead,ALLCARE PHARMACY - JONESBORO,870-245-0207,1903 GRANT AVE
FORT SMITH,Sebastian,ALLCARE PHARMACY - FORT SMITH,877-420-9400,3409 WHEELER AVENUE
LITTLE ROCK,Pulaski,ALLCARE PHARMACY - LITTLE ROCK,877-420-9400,10620 COLONEL GLENN ROAD
ARKADELPHIA,Clark,ALLCARE PHARMACY - ARKADELPHIA,877-420-9400,521 MAIN STREET
El Dorado,Union,Medical Center of South Arkansas,870-863-2000,700 West Grove Street
Dumas,Desha,Dumas Family Pharmacy,870-382-0500,301 Hwy 65 South
Camden,Ouachita,"Dani Cothern, MD Obstetrics & Gynecology",870-836-5738,476 Hospital Drive
Camden,Ouachita,Doctor's Home Care,870-836-1287,726 California AVE SW
Camden,Ouachita,Family Clinic of Ouachita County,870-837-2530,415 Hospital Drive
Stephens,Ouachita,Stephens Community Clinic,870-786-9114,113 Ruby Street
Camden,Ouachita,Express Care Clinic,870-836-5013,415 Hospital Drive
Camden,Ouachita,Ouachita County Medical Center,870-836-1296,638 California AVE SW
North Little Rock,Pulaski,Arkansas Pediatric Clinic Maumelle,501-664-4117,11749 Maumelle Blvd
LITTLE ROCK,Pulaski,ARKANSAS PEDIATRIC CLINIC,501-664-4117,16115 ST VINCENT WAY
Little Rock,Pulaski,Kavanaugh Pharmacy,501-644-3844,5008 Kavanaugh Blvd.
Hardy,Sharp,Davis Drug Store,870-856-3080,1243 Hwy 62/412
Clinton,Van Buren,American Home Pharmacy,501-745-4266,129 Bone Street
Little Rock,Pulaski,Arch Street Pharmacy,501-261-7181,11200 Arch Street
Conway,Faulkner,Heartland Pharmacy Conway,501-450-0000,2235 Dave Ward Dr
Cabot,Lonoke,heartland Pharmacy Cabot,501-941-4400,2006 S Pine
Mountain Home,Baxter,Heartland Pharmacy Mountain Home,870-425-2221,200 E 7th St
Little Rock,Pulaski,Heartland Pharmacy Markham,501-904-4299,11414 W Markham St
Gentry,Benton,Heartland Pharmacy Gentry,479-525-6200,560 S Gentry Blvd
Mansfield,Scott,Heartland Pharmacy Mansfield,479-269-6161,607 Hwy 71 East
Springdale,Washington,Heartland Pharmacy Springdale,479-751-2072,701 S Thompson St
Rogers,Benton,Heartland Pharmacy Rogers,479-631-0204,1735 W Walnut St
Fayetteville,Washington,Heartland Pharmacy Fayetteville,479-444-7200,1450 E Zion Road
Bryant,Saline,Cornerstone Pharmacy Bryant,501-481-8964,2203 N Reynolds Road
Little Rock,Pulaski,Cornerstone Pharmacy Rodney Parham,501-223-2224,4220 N Rodney Parham Road
Van Buren,Crawford,Arkansas Occupational Health Center- Van Buren,479-262-2724,2010 Chestnut Street
Russellville,Pope,Arkansas Occupational Health Center-Russellville,479-219-5190,821 West 2nd Court
Springdale,Benton,Arkansas Occupational Health Center- Springdale,479-725-3000,4001 Wagon Wheel Rd
De Queen,Sevier,Leopard Care Clinic,870-642-5488,167 School Drive
De Queen,Sevier,Randy D Walker MD PLLC,870-584-3000,1553 West Collin Raye Drive
Malvern,Hot Spring,Higginbotham Family Clinic,501-337-9994,"1002 Schneider Dr., Ste 1004"
Pocahontas,Randolph,Futrell Pharmacy Inc,870-892-5615,115 East Broadway Street
Mammoth Spring,Fulton,Palace Drug,870-625-3222,270 Main Street
Fort Smith,Sebastian,Johnson Dermatology,479-649-3376,5921 Riley Park
Little Rock,Pulaski,Little Rock Family Practice Central,501-664-4810,701 North University
Little Rock,Pulaski,Little Rock Family Practice West,501-228-7200,4208 North Rodney Parham
Rogers,Benton,"Brian T. Hyatt, MD, PLLC d/b/a Pinnacle Premier Psychiatry",479-366-0850,3300 S. Market St.
Rogers,Benton,"Woodland Research, NW",479-927-3000,609 W. Dyke Road
Forrest City,St. Francis,Dr Kumars medical clinic,870-633-5016,2801 lindauer road
Little Rock,Pulaski,Health and Wellness of AR,501-779-8554,8114 Cantrell Rd
Rogers,Benton,Northwest Arkansas Family Medicine and Obstetrics,479-282-2737,5302 W Village Pkwy
Blytheville,Mississippi,Adult Medicine Clinic of Blytheville,870-762-5800,519 North 6th Street
Pocahontas,Randolph,"Pocahontas Medical Clinic, PA",870-892-4467,2901 Medical Center Drive
Marion,Crittenden,Mitchell Family Medicine,870-739-8670,924 State Hwy 77
